Date ,TrialType,TrialNumber,SubstrateType,UrchinType,UrchinNumber,UrchinCode,UrchinSize,Spine1,Spine2,Spine3,Spine4,Spine5,TagType/Nickname,Left(1)DidNotLeave(0),RawTimeLeftBrick(s),VideoSpeed (x),TimeToLeaveBrick_ modified (s),TimeToLeaveBrick_ modified (minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,1,Control-2_Mixed-Nonpit1,7.3,10,8,9,10,10,Purple_circle,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,2,Control-2_Mixed-Nonpit2,6.1,9,10,7,9,7,Blue_circle,1,63,15,945,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,3,Control-2_Mixed-Nonpit3,6.1,5,8,8,8,7,Orange_circle,1,75,15,1125,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,1,Control-2_Mixed-Pit1,6.6,10,10,10,10,9,Purple_flower,1,175,15,2625,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,2,Control-2_Mixed-Pit2,5.9,11,8,8,8,10,Red_flower,1,56,15,840,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,3,Control-2_Mixed-Pit3,6,6,7,6,6,6,Yellow_flower,1,48,15,720,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Nonpit,1,Control-2_Cobble-Nonpit1,6.3,8,7,9,7,9,Lightblue_circle,1,9,15,135,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Nonpit,2,Control-2_Cobble-Nonpit2,6.3,9,10,10,10,9,Grey_circle,1,250,15,3750,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Nonpit,3,Control-2_Cobble-Nonpit3,7,7,7,8,9,7,Purple_circle,1,422,15,6330,105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Pit,1,Control-2_Cobble-Pit1,5.1,8,9,10,10,7,Pink_flower,1,518,15,7770,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Pit,2,Control-2_Cobble-Pit2,6.5,9,9,8,9,9,Blue_flower,1,292,15,4380,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Pit,3,Control-2_Cobble-Pit3,6,10,7,9,9,10,Green_flower,1,483,15,7245,120.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Nonpit,1,Kelp-1_Sand-Nonpit1,5.8,9,8,9,10,9,Purple_circle,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Nonpit,2,Kelp-1_Sand-Nonpit2,6.7,10,12,10,11,12,Grey_circle,1,124,30,3720,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Nonpit,3,Kelp-1_Sand-Nonpit3,5.7,7,9,8,9,9,Peach_circle,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Pit,1,Kelp-1_Sand-Pit1,6,10,12,10,12,10,Yellow_flower,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Pit,2,Kelp-1_Sand-Pit2,6.5,13,12,13,11,10,Green_flower,1,217,30,6510,108.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Pit,3,Kelp-1_Sand-Pit3,6.5,12,12,12,14,12,Pink_flower,1,119,30,3570,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Mixed,Nonpit,1,Kelp-1_Mixed-Nonpit1,6.1,9,9,11,10,10,Purple_circle,1,42,30,1260,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
